9
3 17 10
4 3 1
17 6 17
4 9 16
14 18 9
17 3 11
18 8 8
13 6 2
3 12 8
3
12 9 2
16 5 4
6 12 16
9
6 10 15
5 2 13
9 13 4
10 8 13
16 3 3
17 18 1
14 14 11
9 16 5
6 19 12
7
19 2 14
2 4 20
12 14 18
4 15 1
8 16 1
10 18 18
5 20 10
3
8 18 15
3 11 17
18 3 4
9
19 9 1
17 17 2
18 16 14
5 20 10
15 8 3
7 3 6
3 14 15
13 2 1
10 9 8
7
17 10 17
11 12 6
16 3 9
3 8 12
6 3 8
15 11 9
9 18 3
6
1 16 14
13 4 8
9 14 6
3 18 12
13 13 19
13 15 11
4
1 2 15
17 15 2
14 1 20
2 3 9
7
16 12 12
6 9 17
20 13 1
7 14 18
13 5 8
3 15 2
20 9 12
